# GOES-R ABI FM4 SRF ch 047 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.4522020       22114.0      0.60386900
  0.4522230       22113.0      0.60447400
  0.4522430       22112.0      0.60507500
  0.4522640       22111.0      0.60567300
  0.4522840       22110.0      0.60626900
  0.4523040       22109.0      0.60686200
  0.4523250       22108.0      0.60745400
  0.4523450       22107.0      0.60804400
  0.4523660       22106.0      0.60863200
  0.4523860       22105.0      0.60922000
  0.4524070       22104.0      0.60980600
  0.4524270       22103.0      0.61039200
  0.4524480       22102.0      0.61097800
  0.4524680       22101.0      0.61156400
  0.4524890       22100.0      0.61215000
  0.4525090       22099.0      0.61273700
  0.4525300       22098.0      0.61332500
  0.4525500       22097.0      0.61391400
  0.4525710       22096.0      0.61450500
  0.4525910       22095.0      0.61509700
  0.4526120       22094.0      0.61569200
  0.4526320       22093.0      0.61628900
  0.4526530       22092.0      0.61688900
  0.4526730       22091.0      0.61749100
  0.4526940       22090.0      0.61809700
  0.4527140       22089.0      0.61870700
  0.4527350       22088.0      0.61932100
  0.4527550       22087.0      0.61993800
  0.4527760       22086.0      0.62056100
  0.4527960       22085.0      0.62118800
  0.4528170       22084.0      0.62182000
  0.4528370       22083.0      0.62245700
  0.4528580       22082.0      0.62310100
  0.4528780       22081.0      0.62375000
  0.4528990       22080.0      0.62440500
  0.4529190       22079.0      0.62506700
  0.4529400       22078.0      0.62573600
  0.4529600       22077.0      0.62641200
  0.4529810       22076.0      0.62709600
  0.4530010       22075.0      0.62778700
  0.4530220       22074.0      0.62849600
  0.4530420       22073.0      0.62922900
  0.4530630       22072.0      0.62998200
  0.4530830       22071.0      0.63075400
  0.4531040       22070.0      0.63153900
  0.4531240       22069.0      0.63233000
  0.4531450       22068.0      0.63312200
  0.4531650       22067.0      0.63391500
  0.4531860       22066.0      0.63470900
  0.4532060       22065.0      0.63550600
  0.4532270       22064.0      0.63630400
  0.4532480       22063.0      0.63710400
  0.4532680       22062.0      0.63790700
  0.4532890       22061.0      0.63871200
  0.4533090       22060.0      0.63952000
  0.4533300       22059.0      0.64033100
  0.4533500       22058.0      0.64114500
  0.4533710       22057.0      0.64196300
  0.4533910       22056.0      0.64278400
  0.4534120       22055.0      0.64360900
  0.4534320       22054.0      0.64443800
  0.4534530       22053.0      0.64527100
  0.4534740       22052.0      0.64610900
  0.4534940       22051.0      0.64695100
  0.4535150       22050.0      0.64779800
  0.4535350       22049.0      0.64865100
  0.4535560       22048.0      0.64950800
  0.4535760       22047.0      0.65037100
  0.4535970       22046.0      0.65124000
  0.4536180       22045.0      0.65211400
  0.4536380       22044.0      0.65299500
  0.4536590       22043.0      0.65388200
  0.4536790       22042.0      0.65477500
  0.4537000       22041.0      0.65567500
  0.4537210       22040.0      0.65658300
  0.4537410       22039.0      0.65749700
  0.4537620       22038.0      0.65841900
  0.4537820       22037.0      0.65934800
  0.4538030       22036.0      0.66028500
  0.4538230       22035.0      0.66123000
  0.4538440       22034.0      0.66218300
  0.4538650       22033.0      0.66314500
  0.4538850       22032.0      0.66411500
  0.4539060       22031.0      0.66509500
  0.4539260       22030.0      0.66608300
  0.4539470       22029.0      0.66708000
  0.4539680       22028.0      0.66808700
  0.4539880       22027.0      0.66910400
  0.4540090       22026.0      0.67013100
  0.4540300       22025.0      0.67118000
  0.4540500       22024.0      0.67227100
  0.4540710       22023.0      0.67342700
  0.4540910       22022.0      0.67466900
  0.4541120       22021.0      0.67600800
  0.4541330       22020.0      0.67741200
  0.4541530       22019.0      0.67887400
  0.4541740       22018.0      0.68039000
  0.4541940       22017.0      0.68195900
  0.4542150       22016.0      0.68357800
  0.4542360       22015.0      0.68524500
  0.4542560       22014.0      0.68695800
  0.4542770       22013.0      0.68871300
  0.4542980       22012.0      0.69051000
  0.4543180       22011.0      0.69234500
  0.4543390       22010.0      0.69421500
  0.4543600       22009.0      0.69612000
  0.4543800       22008.0      0.69805600
  0.4544010       22007.0      0.70002000
  0.4544220       22006.0      0.70201100
  0.4544420       22005.0      0.70402600
  0.4544630       22004.0      0.70606300
  0.4544830       22003.0      0.70812000
  0.4545040       22002.0      0.71019300
  0.4545250       22001.0      0.71228000
  0.4545450       22000.0      0.71438000
  0.4545660       21999.0      0.71649000
  0.4545870       21998.0      0.71860700
  0.4546070       21997.0      0.72072900
  0.4546280       21996.0      0.72285400
  0.4546490       21995.0      0.72497900
  0.4546690       21994.0      0.72710200
  0.4546900       21993.0      0.72922000
  0.4547110       21992.0      0.73133100
  0.4547310       21991.0      0.73343300
  0.4547520       21990.0      0.73552300
  0.4547730       21989.0      0.73759900
  0.4547940       21988.0      0.73965800
  0.4548140       21987.0      0.74169900
  0.4548350       21986.0      0.74371700
  0.4548560       21985.0      0.74571300
  0.4548760       21984.0      0.74768100
  0.4548970       21983.0      0.74962200
  0.4549180       21982.0      0.75153100
  0.4549380       21981.0      0.75340600
  0.4549590       21980.0      0.75524600
  0.4549800       21979.0      0.75704800
  0.4550000       21978.0      0.75880900
  0.4550210       21977.0      0.76056500
  0.4550420       21976.0      0.76234900
  0.4550630       21975.0      0.76415800
  0.4550830       21974.0      0.76599000
  0.4551040       21973.0      0.76784100
  0.4551250       21972.0      0.76971100
  0.4551450       21971.0      0.77159500
  0.4551660       21970.0      0.77349200
  0.4551870       21969.0      0.77539900
  0.4552080       21968.0      0.77731300
  0.4552280       21967.0      0.77923200
  0.4552490       21966.0      0.78115300
  0.4552700       21965.0      0.78307300
  0.4552900       21964.0      0.78499100
  0.4553110       21963.0      0.78690300
  0.4553320       21962.0      0.78880700
  0.4553530       21961.0      0.79070000
  0.4553730       21960.0      0.79258000
  0.4553940       21959.0      0.79444400
  0.4554150       21958.0      0.79628900
  0.4554360       21957.0      0.79811300
  0.4554560       21956.0      0.79991400
  0.4554770       21955.0      0.80168900
  0.4554980       21954.0      0.80343500
  0.4555190       21953.0      0.80514900
  0.4555390       21952.0      0.80683000
  0.4555600       21951.0      0.80847400
  0.4555810       21950.0      0.81007800
  0.4556020       21949.0      0.81164100
  0.4556220       21948.0      0.81316000
  0.4556430       21947.0      0.81463100
  0.4556640       21946.0      0.81605400
  0.4556850       21945.0      0.81742400
  0.4557050       21944.0      0.81873900
  0.4557260       21943.0      0.81999700
  0.4557470       21942.0      0.82119400
  0.4557680       21941.0      0.82233000
  0.4557890       21940.0      0.82340000
  0.4558090       21939.0      0.82440200
  0.4558300       21938.0      0.82533400
  0.4558510       21937.0      0.82619300
  0.4558720       21936.0      0.82697700
  0.4558920       21935.0      0.82768200
  0.4559130       21934.0      0.82829900
  0.4559340       21933.0      0.82881500
  0.4559550       21932.0      0.82926400
