id,nstr,L_over_E_sr1,rho_f,BRF,R,T_down,atmospheric_absorptance
32,68,0.0006907503710136038,0.0021700562910407619,0.0033385481400627103,0.0052012185152390637,0.99479878120595966,2.788013153676161e-10
33,32,0.00044432931241176462,0.0013959017036474038,0.0021475410825344673,0.0052009766524876251,0.99479902357839534,-2.3088297940176972e-10
33,68,0.00044434458123532712,0.0013959496720713368,0.0021476148801097489,0.0052012185152390637,0.99479878120595966,2.788013153676161e-10
34,32,0.00044432931241176462,0.0013959017036474038,0.0021475410825344673,0.0052009766524876251,0.99479902357839534,-2.3088297940176972e-10
34,68,0.00044434458123532712,0.0013959496720713368,0.0021476148801097489,0.0052012185152390637,0.99479878120595966,2.788013153676161e-10
35,32,0.00044432931241176462,0.0013959017036474038,0.0021475410825344673,0.0052009766524876251,0.99479902357839534,-2.3088297940176972e-10
35,68,0.00044434458123532712,0.0013959496720713368,0.0021476148801097489,0.0052012185152390637,0.99479878120595966,2.788013153676161e-10
36,32,0.0016634070207035328,0.0052257472761719041,0.0060341731932296045,0.0034206886539945775,0.996579311339999,6.0064175855245594e-12
36,68,0.0016630070264468018,0.0052244906571534792,0.0060327221745724918,0.0034205777947144546,0.99657942091190677,1.2933787374436179e-09
37,32,0.0013005316533613283,0.0040857406879609365,0.0047178069720665069,0.0034206886539945775,0.996579311339999,6.0064175855245594e-12
37,68,0.0013003966212046184,0.0040853164719294186,0.0047173171295865233,0.0034205777947144546,0.99657942091190677,1.2933787374436179e-09
38,32,0.0013114076908665631,0.0041199087674875486,0.0047572608718912703,0.0034206886539945775,0.996579311339999,6.0064175855245594e-12
38,68,0.0013112220003360464,0.0041193254034810368,0.0047565872611588806,0.0034205777947144546,0.99657942091190677,1.2933787374436179e-09
39,32,0.00064909653953638708,0.0020391969200780702,0.0023546617814754591,0.0034206886539945775,0.996579311339999,6.0064175855245594e-12
39,68,0.00064905018725527051,0.0020390513000922376,0.0023544936339994194,0.0034205777947144546,0.99657942091190677,1.2933787374436179e-09
40,32,0.00063242057947531178,0.0019868078464586394,0.0022941680899619121,0.0034206886539945775,0.996579311339999,6.0064175855245594e-12
40,68,0.00063239796557175356,0.0019867368027853519,0.0022940860557941183,0.0034205777947144546,0.99657942091190677,1.2933787374436179e-09
41,32,0.00068050328617549579,0.0021378641245926502,0.0024685928556488204,0.0034206886539945775,0.996579311339999,6.0064175855245594e-12
41,68,0.00068047834223705942,0.0021377857608989069,0.0024685023690494655,0.0034205777947144546,0.99657942091190677,1.2933787374436179e-09
42,32,0.00046126796345777744,0.0014491160453352788,0.0016732950777226582,0.0034206886539945775,0.996579311339999,6.0064175855245594e-12
42,68,0.00046127840275866688,0.0014491488413662615,0.0016733329473172906,0.0034205777947144546,0.99657942091190677,1.2933787374436179e-09
43,32,0.00046126796345777744,0.0014491160453352788,0.0016732950777226582,0.0034206886539945775,0.996579311339999,6.0064175855245594e-12
43,68,0.00046127840275866688,0.0014491488413662615,0.0016733329473172906,0.0034205777947144546,0.99657942091190677,1.2933787374436179e-09
